speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory,vernacularNameEl,source_El
2481174,Larus fuscus,3677126,Lesser Black-backed Gull,Gaviota sombría,https://inaturalist-open-data.s3.amazonaws.com/photos/111114484/medium.jpeg,https://www.inaturalist.org/observations/68596025,Andrew Bazdyrev,Birds,LC,Μελανόγλαρος,Wikidata
2481139,Larus argentatus,2076315,European Herring Gull,Gaviota argéntea,https://inaturalist-open-data.s3.amazonaws.com/photos/636514055/medium.jpg,https://www.inaturalist.org/observations/348963009,Jason Thompson,Birds,LC,Ασημόγλαρος,Wikidata
8084280,Gadus morhua,1738617,Atlantic Cod,Bacalao común,https://inaturalist-open-data.s3.amazonaws.com/photos/541436632/medium.jpg,https://www.inaturalist.org/observations/300496831,Kim Nesbitt,Bony fish,VU,Μπακαλιάρος του Ατλαντικού,Wikidata
7788295,Haematopus ostralegus,1038140,Eurasian Oystercatcher,Ostrero euroasiático,https://inaturalist-open-data.s3.amazonaws.com/photos/1039273/medium.jpg,https://www.inaturalist.org/observations/823427,Brian Gratwicke,Birds,NT,Στρειδοφάγος,Wikidata
2480389,Gyps fulvus,973808,Eurasian Griffon,Buitre leonado​,https://inaturalist-open-data.s3.amazonaws.com/photos/449977975/medium.jpg,https://www.inaturalist.org/observations/251479613,Quentin Gaillard,Birds,LC,Όρνιο,Wikidata
8215487,Salmo trutta,931959,Brown Trout,Trucha común,https://inaturalist-open-data.s3.amazonaws.com/photos/153521117/medium.jpg,https://www.inaturalist.org/observations/92696622,Olly Morgan,Bony fish,LC,Πέστροφα,Wikidata
2333785,Myoxocephalus scorpius,775533,Shorthorn Sculpin,,https://inaturalist-open-data.s3.amazonaws.com/photos/398763231/medium.jpeg,https://www.inaturalist.org/observations/224955938,Kian Hayles-Cotton,Bony fish,LC,Σκορπιός της θάλασσας,translated from English
2226639,Chionoecetes opilio,691379,Snow Crab,Cangrejo azul de las nieves,https://inaturalist-open-data.s3.amazonaws.com/photos/31353551/medium.jpg,https://www.inaturalist.org/observations/20307202,Georgy Vinogradov,Invertebrates,,Καβούρι των χιονιών,https://www.mrgoodfish.com/el/species/%CE%BA%CE%B1%CE%B2%CE%BF%CF%8D%CF%81%CE%B9-%CF%84%CF%89%CE%BD-%CF%87%CE%B9%CE%BF%CE%BD%CE%B9%CF%8E%CE%BD/
2481646,Eudyptula minor,493654,Little Penguin,Pingüino azul,https://inaturalist-open-data.s3.amazonaws.com/photos/243990665/medium.jpeg,https://www.inaturalist.org/observations/142329640,johnnoh,Birds,LC,Μικρός Μπλε Πιγκουίνος,Wikidata
2474950,Grus grus,358712,Common Crane,Grulla común,https://inaturalist-open-data.s3.amazonaws.com/photos/227565252/medium.jpg,https://www.inaturalist.org/observations/133585813,Vsevolod Rudyi,Birds,LC,γερανός,Wikidata
5972004,Homarus americanus,348434,American Lobster,Bogavante americano,https://inaturalist-open-data.s3.amazonaws.com/photos/31318271/medium.jpg,https://www.inaturalist.org/observations/20286880,Bob Semple,Invertebrates,LC,αμερικανικός αστακός,Wikidata
5212973,Anguilla anguilla,332194,European Eel,Anguila europea,https://inaturalist-open-data.s3.amazonaws.com/photos/316049128/medium.jpeg,https://www.inaturalist.org/observations/181365760,Nicola Crockford,Bony fish,CR,Χέλι,FishBase
2333802,Myoxocephalus octodecemspinosus,325330,Longhorn Sculpin,,https://inaturalist-open-data.s3.amazonaws.com/photos/374555081/medium.jpeg,https://www.inaturalist.org/observations/211920189,Lara Gibson,Bony fish,,No Greek name,No Greek name
4284021,Salvelinus alpinus,320271,Arctic Char,Salvelino,https://inaturalist-open-data.s3.amazonaws.com/photos/256781750/medium.jpeg,https://www.inaturalist.org/observations/149052430,Игорь Загребин,Bony fish,LC,Αρκτοσαλβελίνος,Wikidata
2480970,Sula variegata,299891,Peruvian Booby,Piquero peruano,https://inaturalist-open-data.s3.amazonaws.com/photos/210308716/medium.jpg,https://www.inaturalist.org/observations/124098338,Frédéric LEVIEZ,Birds,LC,Περουβιανή σούλα,translated from English
2402120,Acipenser fulvescens,291762,Lake Sturgeon,Esturión de lago,https://inaturalist-open-data.s3.amazonaws.com/photos/522174507/medium.jpg,https://www.inaturalist.org/observations/290276856,Below Blue Water Diver,Bony fish,EN,Στουριόνι,https://www.scribd.com/document/483422296/%CE%A5%CE%B4%CE%B1%CF%84%CE%BF%CE%BA%CE%B1%CE%BB%CE%BB%CE%B9%CE%AD%CF%81%CE%B3%CE%B5%CE%B9%CE%B5%CF%82-pdf
7595433,Salmo salar,272489,Atlantic Salmon,Salmón común,https://inaturalist-open-data.s3.amazonaws.com/photos/555838239/medium.jpg,https://www.inaturalist.org/observations/308109504,v_moss,Bony fish,NT,Σολομός του Ατλαντικού,Wikidata
2480482,Circus aeruginosus,261473,Western Marsh Harrier,Aguilucho lagunero occidental,https://inaturalist-open-data.s3.amazonaws.com/photos/121481252/medium.jpg,https://www.inaturalist.org/observations/74337384,Artem Kuznetsov,Birds,LC,Καλαμόκιρκος,Wikidata
2394612,Morone saxatilis,225383,Striped Bass,Lubina rayada atlántica,https://inaturalist-open-data.s3.amazonaws.com/photos/170972334/medium.jpg,https://www.inaturalist.org/observations/102298548,Christian Back,Bony fish,LC,Ταινιωτό λαβράκι,https://eclass.upatras.gr/modules/document/file.php/AS118/%CE%A7%CE%A9%CE%A4%CE%9F%CE%A3%20%CE%9A%CE%9B%CE%95%CE%99%CE%A3%CE%A4%CE%91%20%CE%9A%CE%A5%CE%9A%CE%9B%CE%A9%CE%9C%CE%91%CE%A4%CE%91-1%2B2%2B3%2B4%2B5.pdf
2417981,Carcharhinus melanopterus,222104,Blacktip Reef Shark,Tiburón punta negra de arrecife,https://inaturalist-open-data.s3.amazonaws.com/photos/436348367/medium.jpeg,https://www.inaturalist.org/observations/244609491,Leona Kustra,Sharks & Rays,VU,Καρχαρίνος μελανόφτερος,FishBase
2434806,Halichoerus grypus,219519,Grey Seal,Foca gris,https://inaturalist-open-data.s3.amazonaws.com/photos/360702762/medium.jpg,https://www.inaturalist.org/observations/204097481,Charles Tuberdyke,Marine mammals,LC,Γκρίζα φώκια,Wikidata
2418064,Carcharhinus amblyrhynchos,213681,Grey Reef Shark,Tiburón gris,https://inaturalist-open-data.s3.amazonaws.com/photos/333199230/medium.jpg,https://www.inaturalist.org/observations/190112937,Etienne Guitton,Sharks & Rays,EN,Τεφρός καρχαρίας,Wikidata
8151548,Ichthyaetus melanocephalus,205983,Mediterranean Gull,Gaviota cabecinegra,https://inaturalist-open-data.s3.amazonaws.com/photos/76875465/medium.png,https://www.inaturalist.org/observations/48448425,Paolo Zucca,Birds,LC,Μελανοκέφαλος γλάρος,Wikidata
2402122,Acipenser transmontanus,202817,White Sturgeon,Esturión blanco,https://inaturalist-open-data.s3.amazonaws.com/photos/627931068/medium.jpg,https://www.inaturalist.org/observations/344614581,mlyons7,Bony fish,VU,Οξύρρυγχος ο υπερορεινός,https://el.wikipedia.org/wiki/%CE%9F%CE%BE%CF%85%CF%81%CF%81%CF%85%CE%B3%CF%87%CE%AF%CE%B4%CE%B5%CF%82
2480975,Sula leucogaster,149311,Brown Booby,Piquero pardo,https://inaturalist-open-data.s3.amazonaws.com/photos/325883613/medium.jpg,https://www.inaturalist.org/observations/186472268,Ryan Douglas,Birds,LC,Καστανόσουλα,translated from English
2442225,Chelonia mydas,144423,Green Sea Turtle,Tortuga verde,https://inaturalist-open-data.s3.amazonaws.com/photos/222581734/medium.jpg,https://www.inaturalist.org/observations/130847742,bradenrice13,Reptiles,LC,Πράσινη χελώνα,Wikidata
2480509,Aquila clanga,141656,Greater Spotted Eagle,Águila moteada,https://inaturalist-open-data.s3.amazonaws.com/photos/460444126/medium.jpg,https://www.inaturalist.org/observations/256765220,cog2022,Birds,VU,Στικταετός,Wikidata
2481909,Ciconia nigra,108179,Black Stork,Cigüeña negra,https://inaturalist-open-data.s3.amazonaws.com/photos/627006478/medium.jpg,https://www.inaturalist.org/observations/344140448,Darren Obbard,Birds,LC,Μαυροπελαργός,Wikidata
5202525,Ictalurus furcatus,106865,Blue Catfish,Bagre azul,https://inaturalist-open-data.s3.amazonaws.com/photos/417341337/medium.jpeg,https://www.inaturalist.org/observations/234718340,gwen2012,Bony fish,LC,Μπλε γατόψαρο,translated from English
